HOHD_33,AOLALH32,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00180,0,8,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_32,AOLALH31,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00200,0,7,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_31,AOLALH30,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00224,0,6,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_30,AOLALH29,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00250,0,5,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_29,AOLALH28,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00280,0,4,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_28,AOLALH27,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00315,0,4,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_27,AOLALH26,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00355,0,4,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_26,AOLALH25,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00400,0,4,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_25,AOLALH24,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00450,0,4,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_24,AOLALH23,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00500,0,4,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_23,AOLALH22,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00560,0,3,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_22,AOLALH21,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00630,0,2,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_21,AOLALH20,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00710,0,1.5,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_20,AOLALH19,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00800,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_19,AOLALH18,AUDIO_OUTPUT_LEFT_ALERT_HOHD_00900,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_18,AOLALH17,AUDIO_OUTPUT_LEFT_ALERT_HOHD_01000,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_17,AOLALH16,AUDIO_OUTPUT_LEFT_ALERT_HOHD_01120,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_16,AOLALH15,AUDIO_OUTPUT_LEFT_ALERT_HOHD_01250,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_15,AOLALH14,AUDIO_OUTPUT_LEFT_ALERT_HOHD_01400,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_14,AOLALH13,AUDIO_OUTPUT_LEFT_ALERT_HOHD_01600,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_13,AOLALH12,AUDIO_OUTPUT_LEFT_ALERT_HOHD_01800,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_12,AOLALH11,AUDIO_OUTPUT_LEFT_ALERT_HOHD_02000,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_11,AOLALH10,AUDIO_OUTPUT_LEFT_ALERT_HOHD_02240,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_10,AOLALH09,AUDIO_OUTPUT_LEFT_ALERT_HOHD_02500,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_09,AOLALH08,AUDIO_OUTPUT_LEFT_ALERT_HOHD_02800,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_08,AOLALH07,AUDIO_OUTPUT_LEFT_ALERT_HOHD_03150,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_07,AOLALH06,AUDIO_OUTPUT_LEFT_ALERT_HOHD_03550,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_06,AOLALH05,AUDIO_OUTPUT_LEFT_ALERT_HOHD_04000,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_05,AOLALH04,AUDIO_OUTPUT_LEFT_ALERT_HOHD_04500,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_04,AOLALH03,AUDIO_OUTPUT_LEFT_ALERT_HOHD_05000,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_03,AOLALH02,AUDIO_OUTPUT_LEFT_ALERT_HOHD_05600,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_02,AOLALH01,AUDIO_OUTPUT_LEFT_ALERT_HOHD_06300,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
HOHD_01,AOLALH71,AUDIO_OUTPUT_LEFT_ALERT_HOHD_07100,0,1,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the High Order Harmonic Distortion.,FALSE
THD_35,AOLALT34,AUDIO_OUTPUT_LEFT_ALERT_THD_00140,0,55,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_34,AOLALT33,AUDIO_OUTPUT_LEFT_ALERT_THD_00160,0,55,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_33,AOLALT32,AUDIO_OUTPUT_LEFT_ALERT_THD_00180,0,55,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_32,AOLALT31,AUDIO_OUTPUT_LEFT_ALERT_THD_00200,0,55,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_31,AOLALT30,AUDIO_OUTPUT_LEFT_ALERT_THD_00224,0,50,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_30,AOLALT29,AUDIO_OUTPUT_LEFT_ALERT_THD_00250,0,45,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_29,AOLALT28,AUDIO_OUTPUT_LEFT_ALERT_THD_00280,0,40,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_28,AOLALT27,AUDIO_OUTPUT_LEFT_ALERT_THD_00315,0,35,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_27,AOLALT26,AUDIO_OUTPUT_LEFT_ALERT_THD_00355,0,30,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_26,AOLALT25,AUDIO_OUTPUT_LEFT_ALERT_THD_00400,0,25,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_25,AOLALT24,AUDIO_OUTPUT_LEFT_ALERT_THD_00450,0,20,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_24,AOLALT23,AUDIO_OUTPUT_LEFT_ALERT_THD_00500,0,16,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_23,AOLALT22,AUDIO_OUTPUT_LEFT_ALERT_THD_00560,0,13,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_22,AOLALT21,AUDIO_OUTPUT_LEFT_ALERT_THD_00630,0,11,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_21,AOLALT20,AUDIO_OUTPUT_LEFT_ALERT_THD_00710,0,10,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_20,AOLALT19,AUDIO_OUTPUT_LEFT_ALERT_THD_00800,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_19,AOLALT18,AUDIO_OUTPUT_LEFT_ALERT_THD_00900,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_18,AOLALT17,AUDIO_OUTPUT_LEFT_ALERT_THD_01000,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_17,AOLALT16,AUDIO_OUTPUT_LEFT_ALERT_THD_01120,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_16,AOLALT15,AUDIO_OUTPUT_LEFT_ALERT_THD_01250,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_15,AOLALT14,AUDIO_OUTPUT_LEFT_ALERT_THD_01400,0,11,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_14,AOLALT13,AUDIO_OUTPUT_LEFT_ALERT_THD_01600,0,12,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_13,AOLALT12,AUDIO_OUTPUT_LEFT_ALERT_THD_01800,0,11,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_12,AOLALT11,AUDIO_OUTPUT_LEFT_ALERT_THD_02000,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_11,AOLALT10,AUDIO_OUTPUT_LEFT_ALERT_THD_02240,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_10,AOLALT09,AUDIO_OUTPUT_LEFT_ALERT_THD_02500,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_09,AOLALT08,AUDIO_OUTPUT_LEFT_ALERT_THD_02800,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_08,AOLALT07,AUDIO_OUTPUT_LEFT_ALERT_THD_03150,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_07,AOLALT06,AUDIO_OUTPUT_LEFT_ALERT_THD_03550,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_06,AOLALT05,AUDIO_OUTPUT_LEFT_ALERT_THD_04000,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_05,AOLALT04,AUDIO_OUTPUT_LEFT_ALERT_THD_04500,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_04,AOLALT03,AUDIO_OUTPUT_LEFT_ALERT_THD_05000,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_03,AOLALT02,AUDIO_OUTPUT_LEFT_ALERT_THD_05600,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_02,AOLALT01,AUDIO_OUTPUT_LEFT_ALERT_THD_06300,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
THD_01,AOLALT71,AUDIO_OUTPUT_LEFT_ALERT_THD_07100,0,9,%,MANAUS5G23,*,*,*,Audio_Stat_Analysis_High,Limit for the Total Harmonic Distortion.,FALSE
